,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,temperature,density
50,0.3320037296871759,0.26191624800044505,0.5687228017461413,0.05563997697999078,270,38.32794801852272
51,0.3320037296871759,0.26191624800044505,0.5687228017461413,0.05563997697999078,230,475.43442233532147
52,0.3320037296871759,0.26191624800044505,0.5687228017461413,0.05563997697999078,250,427.6673897877829
53,0.3320037296871759,0.26191624800044505,0.5687228017461413,0.05563997697999078,290,61.970522844148554
54,0.3320037296871759,0.26191624800044505,0.5687228017461413,0.05563997697999078,210,506.9265415051901
55,0.33296341275434016,0.27845229470421845,0.5677258884899403,0.08099231175038324,270,396.9581922351446
56,0.33296341275434016,0.27845229470421845,0.5677258884899403,0.08099231175038324,250,428.1431126039463
57,0.33296341275434016,0.27845229470421845,0.5677258884899403,0.08099231175038324,230,458.94551104508497
58,0.33296341275434016,0.27845229470421845,0.5677258884899403,0.08099231175038324,210,485.4268783173181
59,0.33296341275434016,0.27845229470421845,0.5677258884899403,0.08099231175038324,290,351.7336036096948
60,0.3340757202696759,0.24310674940745255,0.4428392932661213,0.08102019751386913,270,395.40348141364717
61,0.3340757202696759,0.24310674940745255,0.4428392932661213,0.08102019751386913,290,58.05847320902533
62,0.3340757202696759,0.24310674940745255,0.4428392932661213,0.08102019751386913,210,547.596337770922
63,0.3340757202696759,0.24310674940745255,0.4428392932661213,0.08102019751386913,230,515.2660551221339
64,0.3340757202696759,0.24310674940745255,0.4428392932661213,0.08102019751386913,250,469.77168019466365
65,0.33452492441378084,0.25384017307960605,0.6142225800292705,0.04059970563835912,210,542.4319237217152
66,0.33452492441378084,0.25384017307960605,0.6142225800292705,0.04059970563835912,250,459.8774371845366
67,0.33452492441378084,0.25384017307960605,0.6142225800292705,0.04059970563835912,270,406.8100221819947
68,0.33452492441378084,0.25384017307960605,0.6142225800292705,0.04059970563835912,230,506.28362745144005
69,0.33452492441378084,0.25384017307960605,0.6142225800292705,0.04059970563835912,290,62.95303905642796
70,0.3355669572984771,0.2677895686975922,0.5270620264345873,0.07923132527434792,270,408.16854493968503
71,0.3355669572984771,0.2677895686975922,0.5270620264345873,0.07923132527434792,210,508.76504788302697
72,0.3355669572984771,0.2677895686975922,0.5270620264345873,0.07923132527434792,230,478.54773886397334
73,0.3355669572984771,0.2677895686975922,0.5270620264345873,0.07923132527434792,250,446.14234918973875
74,0.3355669572984771,0.2677895686975922,0.5270620264345873,0.07923132527434792,290,371.13516734594737
75,0.33675172355460453,0.24616775029776633,0.5199382101086976,0.05634127806169449,210,546.0403639816326
76,0.33675172355460453,0.24616775029776633,0.5199382101086976,0.05634127806169449,230,508.3609012173947
77,0.33675172355460453,0.24616775029776633,0.5199382101086976,0.05634127806169449,290,64.54404170813444
78,0.33675172355460453,0.24616775029776633,0.5199382101086976,0.05634127806169449,270,405.93296067423756
79,0.33675172355460453,0.24616775029776633,0.5199382101086976,0.05634127806169449,250,466.0342995059955
80,0.3372373520347662,0.28231083213208014,0.6229013200692383,0.06376837037315801,290,355.0024849671513
81,0.3372373520347662,0.28231083213208014,0.6229013200692383,0.06376837037315801,270,391.78981110645276
82,0.3372373520347662,0.28231083213208014,0.6229013200692383,0.06376837037315801,250,424.5374518086983
83,0.3372373520347662,0.28231083213208014,0.6229013200692383,0.06376837037315801,210,480.45443624873394
84,0.3372373520347662,0.28231083213208014,0.6229013200692383,0.06376837037315801,230,453.8430275941375
85,0.33781053958170076,0.2757846064382949,0.6092623708690889,0.07365504996096492,210,508.89478964629444
86,0.33781053958170076,0.2757846064382949,0.6092623708690889,0.07365504996096492,250,458.5762545367903
87,0.33781053958170076,0.2757846064382949,0.6092623708690889,0.07365504996096492,230,484.75996764139046
88,0.33781053958170076,0.2757846064382949,0.6092623708690889,0.07365504996096492,290,397.38848039769596
89,0.33781053958170076,0.2757846064382949,0.6092623708690889,0.07365504996096492,270,431.51400495702643
90,0.33807630962967566,0.25147435272678875,0.5571410633957747,0.04887897041712992,250,458.5816876786897
91,0.33807630962967566,0.25147435272678875,0.5571410633957747,0.04887897041712992,290,79.07954382393247
92,0.33807630962967566,0.25147435272678875,0.5571410633957747,0.04887897041712992,210,539.9257368929902
93,0.33807630962967566,0.25147435272678875,0.5571410633957747,0.04887897041712992,230,502.83914707790774
94,0.33807630962967566,0.25147435272678875,0.5571410633957747,0.04887897041712992,270,406.56644300840253
95,0.340606120896782,0.2696345112157192,0.4690527072944517,0.08184787414306144,270,384.7862059333146
96,0.340606120896782,0.2696345112157192,0.4690527072944517,0.08184787414306144,230,456.40082184517814
97,0.340606120896782,0.2696345112157192,0.4690527072944517,0.08184787414306144,250,421.12320357559287
98,0.340606120896782,0.2696345112157192,0.4690527072944517,0.08184787414306144,210,487.09832342732716
99,0.340606120896782,0.2696345112157192,0.4690527072944517,0.08184787414306144,290,328.73491304822664
